country,date,Population,GDP per capita,GNI per capita
Germany,2019,,,
Germany,2018,82927922.0,53074.5401181641,54560.0
Germany,2017,82657002.0,52055.3099535207,53390.0
Germany,2016,82348669.0,49516.0826931853,50740.0
Germany,2015,81686611.0,47683.7885959958,48770.0
Germany,2014,80982500.0,47011.5510935131,47950.0
Germany,2013,80645605.0,44993.8927459315,46040.0
Germany,2012,80425823.0,43359.6148271723,44400.0
Germany,2011,80274983.0,42541.5310884096,43630.0
Germany,2010,81776930.0,38949.5497636642,39730.0
Germany,2009,81902307.0,36823.3802837696,37650.0
Germany,2008,82110097.0,37802.3874303197,38160.0
Germany,2007,82266372.0,36252.4119582804,36780.0
Germany,2006,82376451.0,34124.8742659227,34700.0
Germany,2005,82469422.0,31794.0960095207,32060.0
Germany,2004,82516260.0,31305.2879360128,31490.0
Germany,2003,82534176.0,29875.0279345237,29570.0
Germany,2002,82488495.0,29178.6374658122,28870.0
Germany,2001,82349925.0,28380.3841210923,28180.0
Germany,2000,82211508.0,27202.7933717461,27050.0
Germany,1999,82100243.0,26291.2110793898,26110.0
Germany,1998,82047195.0,25344.6458500864,25200.0
Germany,1997,82034771.0,24570.112414674,24520.0
Germany,1996,81914831.0,24047.7613682869,24050.0
Germany,1995,81678051.0,23528.1488832684,23500.0
Germany,1994,81438348.0,22759.9977514932,22750.0
Germany,1993,81156363.0,21863.3117598276,21900.0
Germany,1992,80624598.0,21762.8550514102,21830.0
Germany,1991,80013896.0,21031.9488902779,21110.0
Germany,1990,79433029.0,19496.7874022577,19710.0
Germany,1989,78751283.0,,
Germany,1988,78144619.0,,
Germany,1987,77839920.0,,
Germany,1986,77720436.0,,
Germany,1985,77684873.0,,
Germany,1984,77858685.0,,
Germany,1983,78128282.0,,
Germany,1982,78333366.0,,
Germany,1981,78407907.0,,
Germany,1980,78288576.0,,
Germany,1979,78126350.0,,
Germany,1978,78091820.0,,
Germany,1977,78159814.0,,
Germany,1976,78336950.0,,
Germany,1975,78673554.0,,
Germany,1974,78967433.0,,
Germany,1973,78936666.0,,
Germany,1972,78688452.0,,
Germany,1971,78312842.0,,
Germany,1970,78169289.0,,
Germany,1969,77909682.0,,
Germany,1968,77294314.0,,
Germany,1967,76951336.0,,
Germany,1966,76600311.0,,
Germany,1965,75963695.0,,
Germany,1964,75318337.0,,
Germany,1963,74714353.0,,
Germany,1962,74025784.0,,
Germany,1961,73377632.0,,
Germany,1960,72814900.0,,
Spain,2019,,,
Spain,2018,46723749.0,39715.4390594866,39800.0
Spain,2017,46593236.0,38888.7354742421,38880.0
Spain,2016,46483569.0,36554.9345486964,36650.0
Spain,2015,46444832.0,34912.4761266679,34900.0
Spain,2014,46480882.0,33525.7406299089,33400.0
Spain,2013,46620045.0,32434.0032017704,32220.0
Spain,2012,46773055.0,31720.1199986535,31470.0
Spain,2011,46742697.0,31867.9732396862,31310.0
Spain,2010,46576897.0,31680.1853932351,31220.0
Spain,2009,46362946.0,32098.9750530883,31480.0
Spain,2008,45954106.0,33263.2723985249,32340.0
Spain,2007,45226803.0,32438.1733867257,31640.0
Spain,2006,44397319.0,30688.3662172506,30120.0
Spain,2005,43653155.0,27606.9340516269,27230.0
Spain,2004,42921895.0,26119.7937425206,25880.0
Spain,2003,42187645.0,25018.3661157286,24810.0
Spain,2002,41431558.0,24371.5988492666,24100.0
Spain,2001,40850412.0,22958.7615758989,22640.0
Spain,2000,40567864.0,21587.2564410521,21430.0
Spain,1999,40386875.0,19954.2902150512,19770.0
Spain,1998,40223509.0,19096.2983030278,18850.0
Spain,1997,40057389.0,17910.8726064863,17700.0
Spain,1996,39889852.0,16958.0798751631,16720.0
Spain,1995,39724050.0,16262.4515371148,16130.0
Spain,1994,39549108.0,15569.5782550083,15240.0
Spain,1993,39361262.0,14960.2685757493,14840.0
Spain,1992,39157685.0,14843.1069057317,14660.0
Spain,1991,38966376.0,14449.3840767387,14290.0
Spain,1990,38867322.0,13664.4404391105,13510.0
Spain,1989,38827764.0,,
Spain,1988,38766939.0,,
Spain,1987,38684815.0,,
Spain,1986,38584624.0,,
Spain,1985,38469512.0,,
Spain,1984,38330364.0,,
Spain,1983,38171525.0,,
Spain,1982,37986012.0,,
Spain,1981,37758631.0,,
Spain,1980,37491165.0,,
Spain,1979,37191330.0,,
Spain,1978,36864898.0,,
Spain,1977,36511638.0,,
Spain,1976,36137812.0,,
Spain,1975,35757900.0,,
Spain,1974,35373335.0,,
Spain,1973,34988947.0,,
Spain,1972,34604469.0,,
Spain,1971,34224490.0,,
Spain,1970,33814531.0,,
Spain,1969,33441054.0,,
Spain,1968,33113134.0,,
Spain,1967,32682947.0,,
Spain,1966,32283194.0,,
Spain,1965,31954292.0,,
Spain,1964,31609195.0,,
Spain,1963,31296651.0,,
Spain,1962,31023366.0,,
Spain,1961,30739250.0,,
Spain,1960,30455000.0,,
France,2019,,,
France,2018,66987244.0,45342.3957360832,46360.0
France,2017,66865144.0,44255.9416401023,45310.0
France,2016,66859768.0,42047.2872382377,42940.0
France,2015,66593366.0,40833.2420664584,41720.0
France,2014,66316100.0,40141.585477622,41010.0
France,2013,65998687.0,39523.8539542181,40410.0
France,2012,65659809.0,37679.1217798605,38500.0
France,2011,65342780.0,37440.6386298685,38440.0
France,2010,65027507.0,35900.0455682618,36730.0
France,2009,64707040.0,34685.17379693,35480.0
France,2008,64374984.0,35095.2629574491,35860.0
France,2007,64016225.0,34088.3600835306,34770.0
France,2006,63621381.0,32434.8602641227,33080.0
France,2005,63179351.0,30498.5792943609,31020.0
France,2004,62704895.0,29034.0007086989,29440.0
France,2003,62244886.0,28141.4613974335,28510.0
France,2002,61805267.0,28523.8857271382,28820.0
France,2001,61357430.0,27501.5424106098,28000.0
France,2000,60912500.0,26094.2525634431,26510.0
France,1999,60496718.0,24307.4987876484,24790.0
France,1998,60186288.0,23359.0584934562,23660.0
France,1997,59964851.0,22241.4129000794,22510.0
France,1996,59753100.0,21331.4504294765,21510.0
France,1995,59541899.0,20745.4582303319,20810.0
France,1994,59327192.0,19972.1793246617,20040.0
France,1993,59106768.0,19175.3126778033,19270.0
France,1992,58851217.0,18931.8699475361,19010.0
France,1991,58559311.0,18309.4720592273,18360.0
France,1990,58235697.0,17624.2379668255,17690.0
France,1989,57940212.0,,
France,1988,57627105.0,,
France,1987,57302663.0,,
France,1986,56976123.0,,
France,1985,56654696.0,,
France,1984,56337666.0,,
France,1983,56023770.0,,
France,1982,55718933.0,,
France,1981,55430296.0,,
France,1980,55161527.0,,
France,1979,54917118.0,,
France,1978,54691851.0,,
France,1977,54467702.0,,
France,1976,54220022.0,,
France,1975,53931390.0,,
France,1974,53592233.0,,
France,1973,53207734.0,,
